Rk,Team,Conf,W,L,Pct,Conf_W,Conf_L,Conf_Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
119,Louisiana,Sun Belt (West),13,1,.929,9,0,1.000,31.1,18.5,6.32,-4.82,16,23,16,
120,Bowling Green State,MAC (East),4,8,.333,2,6,.250,21.4,30.7,-12.00,-4.83,,,,
121,Florida International,CUSA (East),1,11,.083,0,8,.000,20.3,39.7,-19.86,-4.86,,,,
122,Ohio,MAC (East),3,9,.250,3,5,.375,22.6,30.3,-12.73,-5.48,,,,
123,Middle Tennessee State,CUSA (East),7,6,.538,4,4,.500,29.8,25.7,-3.73,-5.50,,,,
124,Buffalo,MAC (East),4,8,.333,2,6,.250,29.3,29.9,-9.41,-5.58,,,,
125,UTEP,CUSA (West),7,6,.538,4,4,.500,25.1,25.2,-5.30,-5.61,,,,
126,Texas State,Sun Belt (West),4,8,.333,3,5,.375,23.1,33.0,-12.12,-5.70,,,,
127,Charlotte,CUSA (East),5,7,.417,3,5,.375,27.2,34.0,-11.35,-5.93,,,,
128,South Alabama,Sun Belt (West),5,7,.417,2,6,.250,24.9,26.4,-6.56,-6.06,,,,
129,Toledo,MAC (West),7,6,.538,5,3,.625,33.4,21.8,0.28,-6.34,,,,
130,Coastal Carolina,Sun Belt (East),11,2,.846,6,2,.750,40.9,21.6,3.98,-8.94,,22,14,
